,County,Ethnicity,Gender,Campus
15981,Alameda,White,All,Irvine
16097,Alameda,White,All,Los Angeles
16209,Alameda,White,All,Merced
16313,Alameda,White,All,Riverside
16427,Alameda,White,All,San Diego
16544,Alameda,White,All,Santa Barbara
16662,Alameda,White,All,Santa Cruz
16808,Alameda,White,All,Universitywide
17004,Alameda,White,Female,Berkeley
17133,Alameda,White,Female,Davis
17289,Alameda,White,Female,Irvine
17405,Alameda,White,Female,Los Angeles
17517,Alameda,White,Female,Merced
17621,Alameda,White,Female,Riverside
17735,Alameda,White,Female,San Diego
17852,Alameda,White,Female,Santa Barbara
17970,Alameda,White,Female,Santa Cruz
18116,Alameda,White,Female,Universitywide
18312,Alameda,White,Male,Berkeley
18441,Alameda,White,Male,Davis
18597,Alameda,White,Male,Irvine
18713,Alameda,White,Male,Los Angeles
18825,Alameda,White,Male,Merced
18929,Alameda,White,Male,Riverside
19043,Alameda,White,Male,San Diego
19160,Alameda,White,Male,Santa Barbara
19278,Alameda,White,Male,Santa Cruz
19424,Alameda,White,Male,Universitywide
