Calculation1,City,Count,County/State/ Territory,Gender,School,Pivot Field Values
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,App,Los Angeles,Female,ACADEMY OF SCIENTIFIC EXPLORAT,18
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Enr,Los Angeles,All,ACADEMY OF SCIENTIFIC EXPLORAT,8
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Adm,Los Angeles,All,ACADEMY OF SCIENTIFIC EXPLORAT,18
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,App,Los Angeles,All,ACADEMY OF SCIENTIFIC EXPLORAT,29
ACADEMY OF THE CANYONS53262,Santa Clarita,Enr,Los Angeles,Male,ACADEMY OF THE CANYONS,8
ACADEMY OF THE CANYONS53262,Santa Clarita,Adm,Los Angeles,Male,ACADEMY OF THE CANYONS,9
ACADEMY OF THE CANYONS53262,Santa Clarita,App,Los Angeles,Male,ACADEMY OF THE CANYONS,12
ACADEMY OF THE CANYONS53262,Santa Clarita,Enr,Los Angeles,Female,ACADEMY OF THE CANYONS,21
ACADEMY OF THE CANYONS53262,Santa Clarita,Adm,Los Angeles,Female,ACADEMY OF THE CANYONS,28
ACADEMY OF THE CANYONS53262,Santa Clarita,App,Los Angeles,Female,ACADEMY OF THE CANYONS,43
ACADEMY OF THE CANYONS53262,Santa Clarita,Enr,Los Angeles,All,ACADEMY OF THE CANYONS,29
ACADEMY OF THE CANYONS53262,Santa Clarita,Adm,Los Angeles,All,ACADEMY OF THE CANYONS,37
ACADEMY OF THE CANYONS53262,Santa Clarita,App,Los Angeles,All,ACADEMY OF THE CANYONS,55
ACADEMY OF THE REDWOODS54135,Eureka,Adm,Humboldt,Male,ACADEMY OF THE REDWOODS,3
ACADEMY OF THE REDWOODS54135,Eureka,App,Humboldt,Male,ACADEMY OF THE REDWOODS,5
ACADEMY OF THE REDWOODS54135,Eureka,Enr,Humboldt,Female,ACADEMY OF THE REDWOODS,3
ACADEMY OF THE REDWOODS54135,Eureka,Adm,Humboldt,Female,ACADEMY OF THE REDWOODS,3
ACADEMY OF THE REDWOODS54135,Eureka,App,Humboldt,Female,ACADEMY OF THE REDWOODS,6
ACADEMY OF THE REDWOODS54135,Eureka,Enr,Humboldt,All,ACADEMY OF THE REDWOODS,5
ACADEMY OF THE REDWOODS54135,Eureka,Adm,Humboldt,All,ACADEMY OF THE REDWOODS,6
ACADEMY OF THE REDWOODS54135,Eureka,App,Humboldt,All,ACADEMY OF THE REDWOODS,11
ACADEMY-SAN FRAN @ MCATEER54439,San Francisco,Enr,San Francisco,Male,ACADEMY-SAN FRAN @ MCATEER,3
ACADEMY-SAN FRAN @ MCATEER54439,San Francisco,Adm,San Francisco,Male,ACADEMY-SAN FRAN @ MCATEER,4
ACADEMY-SAN FRAN @ MCATEER54439,San Francisco,App,San Francisco,Male,ACADEMY-SAN FRAN @ MCATEER,12
ACADEMY-SAN FRAN @ MCATEER54439,San Francisco,Enr,San Francisco,Female,ACADEMY-SAN FRAN @ MCATEER,6
ACADEMY-SAN FRAN @ MCATEER54439,San Francisco,Adm,San Francisco,Female,ACADEMY-SAN FRAN @ MCATEER,6
ACADEMY-SAN FRAN @ MCATEER54439,San Francisco,App,San Francisco,Female,ACADEMY-SAN FRAN @ MCATEER,12
ACADEMY-SAN FRAN @ MCATEER54439,San Francisco,Enr,San Francisco,All,ACADEMY-SAN FRAN @ MCATEER,9
ACADEMY-SAN FRAN @ MCATEER54439,San Francisco,Adm,San Francisco,All,ACADEMY-SAN FRAN @ MCATEER,10
ACADEMY-SAN FRAN @ MCATEER54439,San Francisco,App,San Francisco,All,ACADEMY-SAN FRAN @ MCATEER,24
ACALANES HIGH SCHOOL51315,Lafayette,Enr,Contra Costa,Male,ACALANES HIGH SCHOOL,21
ACALANES HIGH SCHOOL51315,Lafayette,Adm,Contra Costa,Male,ACALANES HIGH SCHOOL,42
ACALANES HIGH SCHOOL51315,Lafayette,App,Contra Costa,Male,ACALANES HIGH SCHOOL,94
ACALANES HIGH SCHOOL51315,Lafayette,Enr,Contra Costa,Female,ACALANES HIGH SCHOOL,26
ACALANES HIGH SCHOOL51315,Lafayette,Adm,Contra Costa,Female,ACALANES HIGH SCHOOL,51
ACALANES HIGH SCHOOL51315,Lafayette,App,Contra Costa,Female,ACALANES HIGH SCHOOL,89
ACALANES HIGH SCHOOL51315,Lafayette,Enr,Contra Costa,All,ACALANES HIGH SCHOOL,47
ACALANES HIGH SCHOOL51315,Lafayette,Adm,Contra Costa,All,ACALANES HIGH SCHOOL,93
ACALANES HIGH SCHOOL51315,Lafayette,App,Contra Costa,All,ACALANES HIGH SCHOOL,183
ACE CHARTER HIGH SCHOOL54660,San Jose,Adm,Santa Clara,Male,ACE CHARTER HIGH SCHOOL,4
ACE CHARTER HIGH SCHOOL54660,San Jose,App,Santa Clara,Male,ACE CHARTER HIGH SCHOOL,8
ACE CHARTER HIGH SCHOOL54660,San Jose,Enr,Santa Clara,Female,ACE CHARTER HIGH SCHOOL,7
ACE CHARTER HIGH SCHOOL54660,San Jose,Adm,Santa Clara,Female,ACE CHARTER HIGH SCHOOL,8
ACE CHARTER HIGH SCHOOL54660,San Jose,App,Santa Clara,Female,ACE CHARTER HIGH SCHOOL,10
ACE CHARTER HIGH SCHOOL54660,San Jose,Enr,Santa Clara,All,ACE CHARTER HIGH SCHOOL,9
ACE CHARTER HIGH SCHOOL54660,San Jose,Adm,Santa Clara,All,ACE CHARTER HIGH SCHOOL,12
ACE CHARTER HIGH SCHOOL54660,San Jose,App,Santa Clara,All,ACE CHARTER HIGH SCHOOL,18
ADELANTO HIGH SCHOOL54672,Adelanto,Enr,San Bernardino,Male,ADELANTO HIGH SCHOOL,8
ADELANTO HIGH SCHOOL54672,Adelanto,Adm,San Bernardino,Male,ADELANTO HIGH SCHOOL,18
ADELANTO HIGH SCHOOL54672,Adelanto,App,San Bernardino,Male,ADELANTO HIGH SCHOOL,32
ADELANTO HIGH SCHOOL54672,Adelanto,Enr,San Bernardino,Female,ADELANTO HIGH SCHOOL,10
ADELANTO HIGH SCHOOL54672,Adelanto,Adm,San Bernardino,Female,ADELANTO HIGH SCHOOL,21
ADELANTO HIGH SCHOOL54672,Adelanto,App,San Bernardino,Female,ADELANTO HIGH SCHOOL,43
ADELANTO HIGH SCHOOL54672,Adelanto,Enr,San Bernardino,All,ADELANTO HIGH SCHOOL,18
ADELANTO HIGH SCHOOL54672,Adelanto,Adm,San Bernardino,All,ADELANTO HIGH SCHOOL,39
ADELANTO HIGH SCHOOL54672,Adelanto,App,San Bernardino,All,ADELANTO HIGH SCHOOL,75
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Enr,Ventura,Male,ADOLFO CAMARILLO HIGH SCHOOL,11
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Adm,Ventura,Male,ADOLFO CAMARILLO HIGH SCHOOL,19
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,App,Ventura,Male,ADOLFO CAMARILLO HIGH SCHOOL,49
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Enr,Ventura,Female,ADOLFO CAMARILLO HIGH SCHOOL,25
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Adm,Ventura,Female,ADOLFO CAMARILLO HIGH SCHOOL,36
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,App,Ventura,Female,ADOLFO CAMARILLO HIGH SCHOOL,66
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Enr,Ventura,All,ADOLFO CAMARILLO HIGH SCHOOL,36
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Adm,Ventura,All,ADOLFO CAMARILLO HIGH SCHOOL,55
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,App,Ventura,All,ADOLFO CAMARILLO HIGH SCHOOL,115
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Enr,Santa Clara,Male,ADRIAN C WILCOX HIGH SCHOOL,28
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Adm,Santa Clara,Male,ADRIAN C WILCOX HIGH SCHOOL,53
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,App,Santa Clara,Male,ADRIAN C WILCOX HIGH SCHOOL,73
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Enr,Santa Clara,Female,ADRIAN C WILCOX HIGH SCHOOL,30
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Adm,Santa Clara,Female,ADRIAN C WILCOX HIGH SCHOOL,45
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,App,Santa Clara,Female,ADRIAN C WILCOX HIGH SCHOOL,63
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Enr,Santa Clara,All,ADRIAN C WILCOX HIGH SCHOOL,58
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Adm,Santa Clara,All,ADRIAN C WILCOX HIGH SCHOOL,99
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,App,Santa Clara,All,ADRIAN C WILCOX HIGH SCHOOL,137
AGOURA HIGH SCHOOL50003,Agoura Hills,Enr,Los Angeles,Male,AGOURA HIGH SCHOOL,20
AGOURA HIGH SCHOOL50003,Agoura Hills,Adm,Los Angeles,Male,AGOURA HIGH SCHOOL,38
AGOURA HIGH SCHOOL50003,Agoura Hills,App,Los Angeles,Male,AGOURA HIGH SCHOOL,68
