Calculation1,City,County/State/Country,Measure Names,School,Measure Values
ACADEMIA AVANCE CHARTER SCHOOL054247,Los Angeles,Los Angeles,Enrl GPA,ACADEMIA AVANCE CHARTER SCHOOL,18.975523810
ACADEMIA AVANCE CHARTER SCHOOL054247,Los Angeles,Los Angeles,Adm GPA,ACADEMIA AVANCE CHARTER SCHOOL,25.995046176
ACADEMIA AVANCE CHARTER SCHOOL054247,Los Angeles,Los Angeles,App GPA,ACADEMIA AVANCE CHARTER SCHOOL,24.219603079
ACADEMIA BRITANICA CUSCATLECA846480,"n/a ",EL SALVADOR,Enrl GPA,ACADEMIA BRITANICA CUSCATLECA,
ACADEMIA BRITANICA CUSCATLECA846480,"n/a ",EL SALVADOR,Adm GPA,ACADEMIA BRITANICA CUSCATLECA,
ACADEMIA BRITANICA CUSCATLECA846480,"n/a ",EL SALVADOR,App GPA,ACADEMIA BRITANICA CUSCATLECA,3.736
ACADEMIA COTOPAXI930405,"n/a ",ECUADOR,Enrl GPA,ACADEMIA COTOPAXI,
ACADEMIA COTOPAXI930405,"n/a ",ECUADOR,Adm GPA,ACADEMIA COTOPAXI,3.962
ACADEMIA COTOPAXI930405,"n/a ",ECUADOR,App GPA,ACADEMIA COTOPAXI,3.97625
ACADEMIA DEL PERPETUO SOCORRO543440,San Juan,Puerto Rico,Enrl GPA,ACADEMIA DEL PERPETUO SOCORRO,
ACADEMIA DEL PERPETUO SOCORRO543440,San Juan,Puerto Rico,Adm GPA,ACADEMIA DEL PERPETUO SOCORRO,
ACADEMIA DEL PERPETUO SOCORRO543440,San Juan,Puerto Rico,App GPA,ACADEMIA DEL PERPETUO SOCORRO,11.096547619
ACADEMIC LEADERSHIP COMMUNITY054254,Los Angeles,Los Angeles,Enrl GPA,ACADEMIC LEADERSHIP COMMUNITY,26.645111111
ACADEMIC LEADERSHIP COMMUNITY054254,Los Angeles,Los Angeles,Adm GPA,ACADEMIC LEADERSHIP COMMUNITY,30.215883700
ACADEMIC LEADERSHIP COMMUNITY054254,Los Angeles,Los Angeles,App GPA,ACADEMIC LEADERSHIP COMMUNITY,27.199302317
ACADEMIC MAGNET HIGH SCHOOL410356,North Charleston,South Carolina,Enrl GPA,ACADEMIC MAGNET HIGH SCHOOL,
ACADEMIC MAGNET HIGH SCHOOL410356,North Charleston,South Carolina,Adm GPA,ACADEMIC MAGNET HIGH SCHOOL,8.237333333
ACADEMIC MAGNET HIGH SCHOOL410356,North Charleston,South Carolina,App GPA,ACADEMIC MAGNET HIGH SCHOOL,23.85575
ACADEMIES EDUCATION/EMPOWERMNT054617,Carson,Los Angeles,Enrl GPA,ACADEMIES EDUCATION/EMPOWERMNT,20.194880952
ACADEMIES EDUCATION/EMPOWERMNT054617,Carson,Los Angeles,Adm GPA,ACADEMIES EDUCATION/EMPOWERMNT,20.144337302
ACADEMIES EDUCATION/EMPOWERMNT054617,Carson,Los Angeles,App GPA,ACADEMIES EDUCATION/EMPOWERMNT,18.956394617
ACADEMY ADVANCEMENT SCI & TECH310449,Hackensack,New Jersey,Enrl GPA,ACADEMY ADVANCEMENT SCI & TECH,3.774
ACADEMY ADVANCEMENT SCI & TECH310449,Hackensack,New Jersey,Adm GPA,ACADEMY ADVANCEMENT SCI & TECH,39.599803562
ACADEMY ADVANCEMENT SCI & TECH310449,Hackensack,New Jersey,App GPA,ACADEMY ADVANCEMENT SCI & TECH,50.660328955
ACADEMY FOR BUS & FINANCE310454,Hackensack,New Jersey,Enrl GPA,ACADEMY FOR BUS & FINANCE,
ACADEMY FOR BUS & FINANCE310454,Hackensack,New Jersey,Adm GPA,ACADEMY FOR BUS & FINANCE,12.101
ACADEMY FOR BUS & FINANCE310454,Hackensack,New Jersey,App GPA,ACADEMY FOR BUS & FINANCE,23.895333333
ACADEMY FOR MED SCIENCE TECH310452,Hackensack,New Jersey,Enrl GPA,ACADEMY FOR MED SCIENCE TECH,
ACADEMY FOR MED SCIENCE TECH310452,Hackensack,New Jersey,Adm GPA,ACADEMY FOR MED SCIENCE TECH,11.94
ACADEMY FOR MED SCIENCE TECH310452,Hackensack,New Jersey,App GPA,ACADEMY FOR MED SCIENCE TECH,11.755964286
ACADEMY INFO TECH ENGINEERING070707,Stamford,Connecticut,Enrl GPA,ACADEMY INFO TECH ENGINEERING,
ACADEMY INFO TECH ENGINEERING070707,Stamford,Connecticut,Adm GPA,ACADEMY INFO TECH ENGINEERING,
ACADEMY INFO TECH ENGINEERING070707,Stamford,Connecticut,App GPA,ACADEMY INFO TECH ENGINEERING,3.878
ACADEMY MED HEALTH SCI AT RHS054434,Los Angeles,Los Angeles,Enrl GPA,ACADEMY MED HEALTH SCI AT RHS,3.8375
ACADEMY MED HEALTH SCI AT RHS054434,Los Angeles,Los Angeles,Adm GPA,ACADEMY MED HEALTH SCI AT RHS,7.4935
ACADEMY MED HEALTH SCI AT RHS054434,Los Angeles,Los Angeles,App GPA,ACADEMY MED HEALTH SCI AT RHS,6.773562753
ACADEMY OF CAREERS/EXPLORATION051123,Helendale,San Bernardino,Enrl GPA,ACADEMY OF CAREERS/EXPLORATION,
ACADEMY OF CAREERS/EXPLORATION051123,Helendale,San Bernardino,Adm GPA,ACADEMY OF CAREERS/EXPLORATION,4.247
ACADEMY OF CAREERS/EXPLORATION051123,Helendale,San Bernardino,App GPA,ACADEMY OF CAREERS/EXPLORATION,11.720659341
ACADEMY OF HOLY ANGELS241585,Richfield,Minnesota,Enrl GPA,ACADEMY OF HOLY ANGELS,
ACADEMY OF HOLY ANGELS241585,Richfield,Minnesota,Adm GPA,ACADEMY OF HOLY ANGELS,3.962
ACADEMY OF HOLY ANGELS241585,Richfield,Minnesota,App GPA,ACADEMY OF HOLY ANGELS,15.136904762
ACADEMY OF MEDICAL ARTS AT CARSON054618,Carson,Los Angeles,Enrl GPA,ACADEMY OF MEDICAL ARTS AT CARSON,16.024151515
ACADEMY OF MEDICAL ARTS AT CARSON054618,Carson,Los Angeles,Adm GPA,ACADEMY OF MEDICAL ARTS AT CARSON,15.680230610
ACADEMY OF MEDICAL ARTS AT CARSON054618,Carson,Los Angeles,App GPA,ACADEMY OF MEDICAL ARTS AT CARSON,18.345320662
ACADEMY OF OUR LADY OF GUAM525040,Hagatna,Guam,Enrl GPA,ACADEMY OF OUR LADY OF GUAM,16.217666667
ACADEMY OF OUR LADY OF GUAM525040,Hagatna,Guam,Adm GPA,ACADEMY OF OUR LADY OF GUAM,80.539351732
ACADEMY OF OUR LADY OF GUAM525040,Hagatna,Guam,App GPA,ACADEMY OF OUR LADY OF GUAM,87.034166056
ACADEMY OF OUR LADY OF MERCY070415,Milford,Connecticut,Enrl GPA,ACADEMY OF OUR LADY OF MERCY,
ACADEMY OF OUR LADY OF MERCY070415,Milford,Connecticut,Adm GPA,ACADEMY OF OUR LADY OF MERCY,
ACADEMY OF OUR LADY OF MERCY070415,Milford,Connecticut,App GPA,ACADEMY OF OUR LADY OF MERCY,3.834
ACADEMY OF SCIENTIFIC EXPLORAT054563,San Fernando,Los Angeles,Enrl GPA,ACADEMY OF SCIENTIFIC EXPLORAT,12.226785714
ACADEMY OF SCIENTIFIC EXPLORAT054563,San Fernando,Los Angeles,Adm GPA,ACADEMY OF SCIENTIFIC EXPLORAT,11.784675325
ACADEMY OF SCIENTIFIC EXPLORAT054563,San Fernando,Los Angeles,App GPA,ACADEMY OF SCIENTIFIC EXPLORAT,18.078625541
ACADEMY OF THE CANYONS053262,Santa Clarita,Los Angeles,Enrl GPA,ACADEMY OF THE CANYONS,52.128796392
ACADEMY OF THE CANYONS053262,Santa Clarita,Los Angeles,Adm GPA,ACADEMY OF THE CANYONS,54.828895704
ACADEMY OF THE CANYONS053262,Santa Clarita,Los Angeles,App GPA,ACADEMY OF THE CANYONS,52.960908770
ACADEMY OF THE HOLY ANGELS310390,Demarest,New Jersey,Enrl GPA,ACADEMY OF THE HOLY ANGELS,
ACADEMY OF THE HOLY ANGELS310390,Demarest,New Jersey,Adm GPA,ACADEMY OF THE HOLY ANGELS,7.913142857
ACADEMY OF THE HOLY ANGELS310390,Demarest,New Jersey,App GPA,ACADEMY OF THE HOLY ANGELS,19.649392857
ACADEMY OF THE HOLY CROSS210678,Kensington,Maryland,Enrl GPA,ACADEMY OF THE HOLY CROSS,
ACADEMY OF THE HOLY CROSS210678,Kensington,Maryland,Adm GPA,ACADEMY OF THE HOLY CROSS,
ACADEMY OF THE HOLY CROSS210678,Kensington,Maryland,App GPA,ACADEMY OF THE HOLY CROSS,3.621428571
ACADEMY OF THE REDWOODS054135,Eureka,Humboldt,Enrl GPA,ACADEMY OF THE REDWOODS,16.051142857
ACADEMY OF THE REDWOODS054135,Eureka,Humboldt,Adm GPA,ACADEMY OF THE REDWOODS,32.329538462
ACADEMY OF THE REDWOODS054135,Eureka,Humboldt,App GPA,ACADEMY OF THE REDWOODS,35.826331402
ACADEMY OF THE SACRED HEART191985,New Orleans,Louisiana,Enrl GPA,ACADEMY OF THE SACRED HEART,
ACADEMY OF THE SACRED HEART191985,New Orleans,Louisiana,Adm GPA,ACADEMY OF THE SACRED HEART,
ACADEMY OF THE SACRED HEART191985,New Orleans,Louisiana,App GPA,ACADEMY OF THE SACRED HEART,7.686
ACADEMY OUR LADY OF PEACE052820,San Diego,San Diego,Enrl GPA,ACADEMY OUR LADY OF PEACE,91.401852492
ACADEMY OUR LADY OF PEACE052820,San Diego,San Diego,Adm GPA,ACADEMY OUR LADY OF PEACE,90.504053104
ACADEMY OUR LADY OF PEACE052820,San Diego,San Diego,App GPA,ACADEMY OUR LADY OF PEACE,87.184015027
ACADEMY SCIENCE & ENGINEERING054626,Los Angeles,Los Angeles,Enrl GPA,ACADEMY SCIENCE & ENGINEERING,
ACADEMY SCIENCE & ENGINEERING054626,Los Angeles,Los Angeles,Adm GPA,ACADEMY SCIENCE & ENGINEERING,4.01125
ACADEMY SCIENCE & ENGINEERING054626,Los Angeles,Los Angeles,App GPA,ACADEMY SCIENCE & ENGINEERING,7.491052632
ACADEMY SOFTWARE ENGINEERING333428,New York,New York,Enrl GPA,ACADEMY SOFTWARE ENGINEERING,
