Calculation1,City,County/State/Country,Measure Names,School,Measure Values
JOHN F KENNEDY HIGH SCHOOL051089,Granada Hills,Los Angeles,Adm GPA,JOHN F KENNEDY HIGH SCHOOL,89.634404932
JOHN F KENNEDY HIGH SCHOOL051089,Granada Hills,Los Angeles,App GPA,JOHN F KENNEDY HIGH SCHOOL,84.745041469
JOHN F KENNEDY HIGH SCHOOL052630,Richmond,Contra Costa,Enrl GPA,JOHN F KENNEDY HIGH SCHOOL,71.643989177
JOHN F KENNEDY HIGH SCHOOL052630,Richmond,Contra Costa,Adm GPA,JOHN F KENNEDY HIGH SCHOOL,89.355343254
JOHN F KENNEDY HIGH SCHOOL052630,Richmond,Contra Costa,App GPA,JOHN F KENNEDY HIGH SCHOOL,84.751541037
JOHN F KENNEDY HIGH SCHOOL052713,Sacramento,Sacramento,Enrl GPA,JOHN F KENNEDY HIGH SCHOOL,92.147482908
JOHN F KENNEDY HIGH SCHOOL052713,Sacramento,Sacramento,Adm GPA,JOHN F KENNEDY HIGH SCHOOL,90.625650797
JOHN F KENNEDY HIGH SCHOOL052713,Sacramento,Sacramento,App GPA,JOHN F KENNEDY HIGH SCHOOL,88.084054426
JOHN F KENNEDY HIGH SCHOOL210960,Silver Spring,Maryland,Enrl GPA,JOHN F KENNEDY HIGH SCHOOL,
JOHN F KENNEDY HIGH SCHOOL210960,Silver Spring,Maryland,Adm GPA,JOHN F KENNEDY HIGH SCHOOL,
JOHN F KENNEDY HIGH SCHOOL210960,Silver Spring,Maryland,App GPA,JOHN F KENNEDY HIGH SCHOOL,3.508
JOHN F KENNEDY HIGH SCHOOL330383,Bellmore,New York,Enrl GPA,JOHN F KENNEDY HIGH SCHOOL,
JOHN F KENNEDY HIGH SCHOOL330383,Bellmore,New York,Adm GPA,JOHN F KENNEDY HIGH SCHOOL,4.274
JOHN F KENNEDY HIGH SCHOOL330383,Bellmore,New York,App GPA,JOHN F KENNEDY HIGH SCHOOL,8.061904762
JOHN F KENNEDY HIGH SCHOOL525160,Tamuning,Guam,Enrl GPA,JOHN F KENNEDY HIGH SCHOOL,
JOHN F KENNEDY HIGH SCHOOL525160,Tamuning,Guam,Adm GPA,JOHN F KENNEDY HIGH SCHOOL,16.376
JOHN F KENNEDY HIGH SCHOOL525160,Tamuning,Guam,App GPA,JOHN F KENNEDY HIGH SCHOOL,32.991928571
JOHN F KENNEDY MEMORIAL HS310581,Iselin,New Jersey,Enrl GPA,JOHN F KENNEDY MEMORIAL HS,
JOHN F KENNEDY MEMORIAL HS310581,Iselin,New Jersey,Adm GPA,JOHN F KENNEDY MEMORIAL HS,3.948333333
JOHN F KENNEDY MEMORIAL HS310581,Iselin,New Jersey,App GPA,JOHN F KENNEDY MEMORIAL HS,7.799761905
JOHN F KENNEDY MIDDLE COLG HS054073,Norco,Riverside,Enrl GPA,JOHN F KENNEDY MIDDLE COLG HS,37.856516208
JOHN F KENNEDY MIDDLE COLG HS054073,Norco,Riverside,Adm GPA,JOHN F KENNEDY MIDDLE COLG HS,37.660836099
JOHN F KENNEDY MIDDLE COLG HS054073,Norco,Riverside,App GPA,JOHN F KENNEDY MIDDLE COLG HS,39.031314431
JOHN F KENNEDY SCHOOL734142,"n/a ",GERMANY,Enrl GPA,JOHN F KENNEDY SCHOOL,
JOHN F KENNEDY SCHOOL734142,"n/a ",GERMANY,Adm GPA,JOHN F KENNEDY SCHOOL,
JOHN F KENNEDY SCHOOL734142,"n/a ",GERMANY,App GPA,JOHN F KENNEDY SCHOOL,11.039666667
JOHN F KENNEDY SENIOR HS160673,Cedar Rapids,Iowa,Enrl GPA,JOHN F KENNEDY SENIOR HS,
JOHN F KENNEDY SENIOR HS160673,Cedar Rapids,Iowa,Adm GPA,JOHN F KENNEDY SENIOR HS,
JOHN F KENNEDY SENIOR HS160673,Cedar Rapids,Iowa,App GPA,JOHN F KENNEDY SENIOR HS,7.506285714
JOHN F KENNEDY SR HIGH SCHOOL240265,Bloomington,Minnesota,Enrl GPA,JOHN F KENNEDY SR HIGH SCHOOL,
JOHN F KENNEDY SR HIGH SCHOOL240265,Bloomington,Minnesota,Adm GPA,JOHN F KENNEDY SR HIGH SCHOOL,
JOHN F KENNEDY SR HIGH SCHOOL240265,Bloomington,Minnesota,App GPA,JOHN F KENNEDY SR HIGH SCHOOL,4.166666667
JOHN GLENN HIGH SCHOOL052166,Norwalk,Los Angeles,Enrl GPA,JOHN GLENN HIGH SCHOOL,92.324210595
JOHN GLENN HIGH SCHOOL052166,Norwalk,Los Angeles,Adm GPA,JOHN GLENN HIGH SCHOOL,90.958030887
JOHN GLENN HIGH SCHOOL052166,Norwalk,Los Angeles,App GPA,JOHN GLENN HIGH SCHOOL,87.364967220
JOHN H FRANCIS POLYTECHNIC HS053467,Sun Valley,Los Angeles,Enrl GPA,JOHN H FRANCIS POLYTECHNIC HS,89.768297297
JOHN H FRANCIS POLYTECHNIC HS053467,Sun Valley,Los Angeles,Adm GPA,JOHN H FRANCIS POLYTECHNIC HS,89.245673189
JOHN H FRANCIS POLYTECHNIC HS053467,Sun Valley,Los Angeles,App GPA,JOHN H FRANCIS POLYTECHNIC HS,86.274713560
JOHN H GUYER HIGH SCHOOL441946,Denton,Texas,Enrl GPA,JOHN H GUYER HIGH SCHOOL,
JOHN H GUYER HIGH SCHOOL441946,Denton,Texas,Adm GPA,JOHN H GUYER HIGH SCHOOL,
JOHN H GUYER HIGH SCHOOL441946,Denton,Texas,App GPA,JOHN H GUYER HIGH SCHOOL,4.051666667
JOHN H PITMAN HIGH SCHOOL053644,Turlock,Stanislaus,Enrl GPA,JOHN H PITMAN HIGH SCHOOL,51.120697667
JOHN H PITMAN HIGH SCHOOL053644,Turlock,Stanislaus,Adm GPA,JOHN H PITMAN HIGH SCHOOL,51.018287580
JOHN H PITMAN HIGH SCHOOL053644,Turlock,Stanislaus,App GPA,JOHN H PITMAN HIGH SCHOOL,49.248817197
JOHN HERSEY HIGH SCHOOL140097,Arlington Hts,Illinois,Enrl GPA,JOHN HERSEY HIGH SCHOOL,
JOHN HERSEY HIGH SCHOOL140097,Arlington Hts,Illinois,Adm GPA,JOHN HERSEY HIGH SCHOOL,7.938
JOHN HERSEY HIGH SCHOOL140097,Arlington Hts,Illinois,App GPA,JOHN HERSEY HIGH SCHOOL,26.287571429
JOHN JAY HIGH SCHOOL332458,Hopewell Junctn,New York,Enrl GPA,JOHN JAY HIGH SCHOOL,
JOHN JAY HIGH SCHOOL332458,Hopewell Junctn,New York,Adm GPA,JOHN JAY HIGH SCHOOL,8.132
JOHN JAY HIGH SCHOOL332458,Hopewell Junctn,New York,App GPA,JOHN JAY HIGH SCHOOL,8.017857143
JOHN JAY HIGH SCHOOL332645,Cross River,New York,Enrl GPA,JOHN JAY HIGH SCHOOL,
JOHN JAY HIGH SCHOOL332645,Cross River,New York,Adm GPA,JOHN JAY HIGH SCHOOL,27.104166667
JOHN JAY HIGH SCHOOL332645,Cross River,New York,App GPA,JOHN JAY HIGH SCHOOL,34.595740842
JOHN JAY HIGH SCHOOL332645,Katonah,New York,Enrl GPA,JOHN JAY HIGH SCHOOL,
JOHN JAY HIGH SCHOOL332645,Katonah,New York,Adm GPA,JOHN JAY HIGH SCHOOL,
JOHN JAY HIGH SCHOOL332645,Katonah,New York,App GPA,JOHN JAY HIGH SCHOOL,3.706
JOHN MARSHALL FUNDAMENTAL SCH052388,Pasadena,Los Angeles,Enrl GPA,JOHN MARSHALL FUNDAMENTAL SCH,93.675441279
JOHN MARSHALL FUNDAMENTAL SCH052388,Pasadena,Los Angeles,Adm GPA,JOHN MARSHALL FUNDAMENTAL SCH,93.032042677
JOHN MARSHALL FUNDAMENTAL SCH052388,Pasadena,Los Angeles,App GPA,JOHN MARSHALL FUNDAMENTAL SCH,89.541475982
JOHN MARSHALL HIGH SCHOOL051650,Los Angeles,Los Angeles,Enrl GPA,JOHN MARSHALL HIGH SCHOOL,90.033281009
JOHN MARSHALL HIGH SCHOOL051650,Los Angeles,Los Angeles,Adm GPA,JOHN MARSHALL HIGH SCHOOL,89.358792531
JOHN MARSHALL HIGH SCHOOL051650,Los Angeles,Los Angeles,App GPA,JOHN MARSHALL HIGH SCHOOL,85.538788207
JOHN MARSHALL HIGH SCHOOL242100,Rochester,Minnesota,Enrl GPA,JOHN MARSHALL HIGH SCHOOL,
JOHN MARSHALL HIGH SCHOOL242100,Rochester,Minnesota,Adm GPA,JOHN MARSHALL HIGH SCHOOL,
JOHN MARSHALL HIGH SCHOOL242100,Rochester,Minnesota,App GPA,JOHN MARSHALL HIGH SCHOOL,19.978857143
JOHN MARSHALL HIGH SCHOOL446175,San Antonio,Texas,Enrl GPA,JOHN MARSHALL HIGH SCHOOL,
JOHN MARSHALL HIGH SCHOOL446175,San Antonio,Texas,Adm GPA,JOHN MARSHALL HIGH SCHOOL,
JOHN MARSHALL HIGH SCHOOL446175,San Antonio,Texas,App GPA,JOHN MARSHALL HIGH SCHOOL,4.108
JOHN MILLER GREAT NECK N HS332170,Great Neck,New York,Enrl GPA,JOHN MILLER GREAT NECK N HS,
JOHN MILLER GREAT NECK N HS332170,Great Neck,New York,Adm GPA,JOHN MILLER GREAT NECK N HS,36.071547619
JOHN MILLER GREAT NECK N HS332170,Great Neck,New York,App GPA,JOHN MILLER GREAT NECK N HS,65.366314286
JOHN MUIR HIGH SCHOOL052390,Pasadena,Los Angeles,Enrl GPA,JOHN MUIR HIGH SCHOOL,88.905725457
JOHN MUIR HIGH SCHOOL052390,Pasadena,Los Angeles,Adm GPA,JOHN MUIR HIGH SCHOOL,89.229786274
JOHN MUIR HIGH SCHOOL052390,Pasadena,Los Angeles,App GPA,JOHN MUIR HIGH SCHOOL,82.614353396
JOHN O'CONNELL HIGH SCHOOL052960,San Francisco,San Francisco,Enrl GPA,JOHN O'CONNELL HIGH SCHOOL,29.740757937
JOHN O'CONNELL HIGH SCHOOL052960,San Francisco,San Francisco,Adm GPA,JOHN O'CONNELL HIGH SCHOOL,58.785632368
JOHN O'CONNELL HIGH SCHOOL052960,San Francisco,San Francisco,App GPA,JOHN O'CONNELL HIGH SCHOOL,74.401852387
JOHN P STEVENS HIGH SCHOOL310787,Edison,New Jersey,Enrl GPA,JOHN P STEVENS HIGH SCHOOL,11.880285714
JOHN P STEVENS HIGH SCHOOL310787,Edison,New Jersey,Adm GPA,JOHN P STEVENS HIGH SCHOOL,47.001671595
JOHN P STEVENS HIGH SCHOOL310787,Edison,New Jersey,App GPA,JOHN P STEVENS HIGH SCHOOL,86.800761440
JOHN PAUL II HIGH SCHOOL445578,Plano,Texas,Enrl GPA,JOHN PAUL II HIGH SCHOOL,
JOHN PAUL II HIGH SCHOOL445578,Plano,Texas,Adm GPA,JOHN PAUL II HIGH SCHOOL,7.804166667
JOHN PAUL II HIGH SCHOOL445578,Plano,Texas,App GPA,JOHN PAUL II HIGH SCHOOL,11.260318182
JOHN S BURKE CATHOLIC HS332140,Goshen,New York,Enrl GPA,JOHN S BURKE CATHOLIC HS,
JOHN S BURKE CATHOLIC HS332140,Goshen,New York,Adm GPA,JOHN S BURKE CATHOLIC HS,3.712
JOHN S BURKE CATHOLIC HS332140,Goshen,New York,App GPA,JOHN S BURKE CATHOLIC HS,10.363809524
JOHN S DAVIDSON FINE ARTS SCH110294,Augusta,Georgia,Enrl GPA,JOHN S DAVIDSON FINE ARTS SCH,
JOHN S DAVIDSON FINE ARTS SCH110294,Augusta,Georgia,Adm GPA,JOHN S DAVIDSON FINE ARTS SCH,4.254
JOHN S DAVIDSON FINE ARTS SCH110294,Augusta,Georgia,App GPA,JOHN S DAVIDSON FINE ARTS SCH,4.258333333
JOHN SWETT HIGH SCHOOL050710,Crockett,Contra Costa,Enrl GPA,JOHN SWETT HIGH SCHOOL,62.930511905
JOHN SWETT HIGH SCHOOL050710,Crockett,Contra Costa,Adm GPA,JOHN SWETT HIGH SCHOOL,80.820842497
JOHN SWETT HIGH SCHOOL050710,Crockett,Contra Costa,App GPA,JOHN SWETT HIGH SCHOOL,84.588619894
JOHN W NORTH HIGH SCHOOL052661,Riverside,Riverside,Enrl GPA,JOHN W NORTH HIGH SCHOOL,88.424674390
JOHN W NORTH HIGH SCHOOL052661,Riverside,Riverside,Adm GPA,JOHN W NORTH HIGH SCHOOL,88.269802127
JOHN W NORTH HIGH SCHOOL052661,Riverside,Riverside,App GPA,JOHN W NORTH HIGH SCHOOL,84.311925570
JOHNS CREEK HIGH SCHOOL111866,Johns Creek,Georgia,Enrl GPA,JOHNS CREEK HIGH SCHOOL,4.1
JOHNS CREEK HIGH SCHOOL111866,Johns Creek,Georgia,Adm GPA,JOHNS CREEK HIGH SCHOOL,20.423443256
JOHNS CREEK HIGH SCHOOL111866,Johns Creek,Georgia,App GPA,JOHNS CREEK HIGH SCHOOL,20.057108486
JOHNSTON HIGH SCHOOL162220,Johnston,Iowa,Enrl GPA,JOHNSTON HIGH SCHOOL,
JOHNSTON HIGH SCHOOL162220,Johnston,Iowa,Adm GPA,JOHNSTON HIGH SCHOOL,
JOHNSTON HIGH SCHOOL162220,Johnston,Iowa,App GPA,JOHNSTON HIGH SCHOOL,15.72
JOLIET TOWNSHIP HS WEST142373,Joliet,Illinois,Enrl GPA,JOLIET TOWNSHIP HS WEST,
JOLIET TOWNSHIP HS WEST142373,Joliet,Illinois,Adm GPA,JOLIET TOWNSHIP HS WEST,
JOLIET TOWNSHIP HS WEST142373,Joliet,Illinois,App GPA,JOLIET TOWNSHIP HS WEST,3.874
JONES COLLEGE PREP140905,Chicago,Illinois,Enrl GPA,JONES COLLEGE PREP,
JONES COLLEGE PREP140905,Chicago,Illinois,Adm GPA,JONES COLLEGE PREP,11.71
JONES COLLEGE PREP140905,Chicago,Illinois,App GPA,JONES COLLEGE PREP,25.973261523
JORDAN HIGH SCHOOL450405,Sandy,Utah,Enrl GPA,JORDAN HIGH SCHOOL,
JORDAN HIGH SCHOOL450405,Sandy,Utah,Adm GPA,JORDAN HIGH SCHOOL,4.095
JORDAN HIGH SCHOOL450405,Sandy,Utah,App GPA,JORDAN HIGH SCHOOL,4.038571429
JORDAN NEW TECH HIGH SCHOOL051823,Los Angeles,Los Angeles,Enrl GPA,JORDAN NEW TECH HIGH SCHOOL,
JORDAN NEW TECH HIGH SCHOOL051823,Los Angeles,Los Angeles,Adm GPA,JORDAN NEW TECH HIGH SCHOOL,
JORDAN NEW TECH HIGH SCHOOL051823,Los Angeles,Los Angeles,App GPA,JORDAN NEW TECH HIGH SCHOOL,3.587142857
JORDAN990037,"n/a ",,Enrl GPA,JORDAN,
JORDAN990037,"n/a ",,Adm GPA,JORDAN,7.650333333
JORDAN990037,"n/a ",,App GPA,JORDAN,24.279761905
JOSEPH A GREGORI HIGH SCHOOL052031,Modesto,Stanislaus,Enrl GPA,JOSEPH A GREGORI HIGH SCHOOL,20.195965664
JOSEPH A GREGORI HIGH SCHOOL052031,Modesto,Stanislaus,Adm GPA,JOSEPH A GREGORI HIGH SCHOOL,20.034872964
JOSEPH A GREGORI HIGH SCHOOL052031,Modesto,Stanislaus,App GPA,JOSEPH A GREGORI HIGH SCHOOL,19.455907032
JSERRA CATHOLIC HIGH SCHOOL053131,San Juan Capistrano,Orange,Enrl GPA,JSERRA CATHOLIC HIGH SCHOOL,
JSERRA CATHOLIC HIGH SCHOOL053131,San Juan Capistrano,Orange,Adm GPA,JSERRA CATHOLIC HIGH SCHOOL,3.606111111
JSERRA CATHOLIC HIGH SCHOOL053131,San Juan Capistrano,Orange,App GPA,JSERRA CATHOLIC HIGH SCHOOL,6.795303030
JSERRA CATHOLIC HIGH SCHOOL053197,San Juan Capistrano,Orange,Enrl GPA,JSERRA CATHOLIC HIGH SCHOOL,41.339588447
JSERRA CATHOLIC HIGH SCHOOL053197,San Juan Capistrano,Orange,Adm GPA,JSERRA CATHOLIC HIGH SCHOOL,41.621961901
JSERRA CATHOLIC HIGH SCHOOL053197,San Juan Capistrano,Orange,App GPA,JSERRA CATHOLIC HIGH SCHOOL,40.160808534
JSERRA CATHOLIC HIGH053197,San Juan Capistr,Orange,Enrl GPA,JSERRA CATHOLIC HIGH,
JSERRA CATHOLIC HIGH053197,San Juan Capistr,Orange,Adm GPA,JSERRA CATHOLIC HIGH,3.99
JSERRA CATHOLIC HIGH053197,San Juan Capistr,Orange,App GPA,JSERRA CATHOLIC HIGH,3.7725
JUAN DIEGO CATHOLIC HS450064,Draper,Utah,Enrl GPA,JUAN DIEGO CATHOLIC HS,4.086
JUAN DIEGO CATHOLIC HS450064,Draper,Utah,Adm GPA,JUAN DIEGO CATHOLIC HS,20.242461760
JUAN DIEGO CATHOLIC HS450064,Draper,Utah,App GPA,JUAN DIEGO CATHOLIC HS,23.042963287
JUAN RODRIGUEZ CABRILLO HS051504,Long Beach,Los Angeles,Enrl GPA,JUAN RODRIGUEZ CABRILLO HS,64.737860912
JUAN RODRIGUEZ CABRILLO HS051504,Long Beach,Los Angeles,Adm GPA,JUAN RODRIGUEZ CABRILLO HS,67.675300931
JUAN RODRIGUEZ CABRILLO HS051504,Long Beach,Los Angeles,App GPA,JUAN RODRIGUEZ CABRILLO HS,66.932387121
JUANITA HIGH SCHOOL480543,Kirkland,Washington,Enrl GPA,JUANITA HIGH SCHOOL,4
JUANITA HIGH SCHOOL480543,Kirkland,Washington,Adm GPA,JUANITA HIGH SCHOOL,48.893995726
JUANITA HIGH SCHOOL480543,Kirkland,Washington,App GPA,JUANITA HIGH SCHOOL,68.002835216
JUDGE MEMORIAL HIGH SCHOOL450375,Salt Lake City,Utah,Enrl GPA,JUDGE MEMORIAL HIGH SCHOOL,4.036
JUDGE MEMORIAL HIGH SCHOOL450375,Salt Lake City,Utah,Adm GPA,JUDGE MEMORIAL HIGH SCHOOL,50.964761905
JUDGE MEMORIAL HIGH SCHOOL450375,Salt Lake City,Utah,App GPA,JUDGE MEMORIAL HIGH SCHOOL,73.209685537
JULIAN CHARTER SCHOOL052929,Julian,San Diego,Enrl GPA,JULIAN CHARTER SCHOOL,
JULIAN CHARTER SCHOOL052929,Julian,San Diego,Adm GPA,JULIAN CHARTER SCHOOL,11.619952381
JULIAN CHARTER SCHOOL052929,Julian,San Diego,App GPA,JULIAN CHARTER SCHOOL,29.657540404
JULIAN UNION HIGH SCHOOL051285,Julian,San Diego,Enrl GPA,JULIAN UNION HIGH SCHOOL,19.987777778
JULIAN UNION HIGH SCHOOL051285,Julian,San Diego,Adm GPA,JULIAN UNION HIGH SCHOOL,51.145252525
JULIAN UNION HIGH SCHOOL051285,Julian,San Diego,App GPA,JULIAN UNION HIGH SCHOOL,65.711545177
JUMEIRAH COLLEGE697035,"n/a ",UNITED ARAB EMIRATES,Enrl GPA,JUMEIRAH COLLEGE,
JUMEIRAH COLLEGE697035,"n/a ",UNITED ARAB EMIRATES,Adm GPA,JUMEIRAH COLLEGE,
JUMEIRAH COLLEGE697035,"n/a ",UNITED ARAB EMIRATES,App GPA,JUMEIRAH COLLEGE,3.3
JUMEIRAH ENGLISH SPEAKING SCHL697211,"n/a ",UNITED ARAB EMIRATES,Enrl GPA,JUMEIRAH ENGLISH SPEAKING SCHL,
JUMEIRAH ENGLISH SPEAKING SCHL697211,"n/a ",UNITED ARAB EMIRATES,Adm GPA,JUMEIRAH ENGLISH SPEAKING SCHL,4.246
JUMEIRAH ENGLISH SPEAKING SCHL697211,"n/a ",UNITED ARAB EMIRATES,App GPA,JUMEIRAH ENGLISH SPEAKING SCHL,3.713333333
JUNE JORDAN SCHOOL FOR EQUITY053884,San Francisco,San Francisco,Enrl GPA,JUNE JORDAN SCHOOL FOR EQUITY,31.007428571
JUNE JORDAN SCHOOL FOR EQUITY053884,San Francisco,San Francisco,Adm GPA,JUNE JORDAN SCHOOL FOR EQUITY,42.544395604
JUNE JORDAN SCHOOL FOR EQUITY053884,San Francisco,San Francisco,App GPA,JUNE JORDAN SCHOOL FOR EQUITY,39.331185866
JUNEAU-DOUGLAS HIGH SCHOOL020055,Juneau,Alaska,Enrl GPA,JUNEAU-DOUGLAS HIGH SCHOOL,
JUNEAU-DOUGLAS HIGH SCHOOL020055,Juneau,Alaska,Adm GPA,JUNEAU-DOUGLAS HIGH SCHOOL,16.294333333
JUNEAU-DOUGLAS HIGH SCHOOL020055,Juneau,Alaska,App GPA,JUNEAU-DOUGLAS HIGH SCHOOL,38.002190476
JUNIPERO SERRA HIGH SCHOOL051025,Gardena,Los Angeles,Enrl GPA,JUNIPERO SERRA HIGH SCHOOL,74.517598679
JUNIPERO SERRA HIGH SCHOOL051025,Gardena,Los Angeles,Adm GPA,JUNIPERO SERRA HIGH SCHOOL,86.908677480
JUNIPERO SERRA HIGH SCHOOL051025,Gardena,Los Angeles,App GPA,JUNIPERO SERRA HIGH SCHOOL,83.001731058
JUNIPERO SERRA HIGH SCHOOL053180,San Mateo,San Mateo,Enrl GPA,JUNIPERO SERRA HIGH SCHOOL,91.597410877
JUNIPERO SERRA HIGH SCHOOL053180,San Mateo,San Mateo,Adm GPA,JUNIPERO SERRA HIGH SCHOOL,90.874080095
JUNIPERO SERRA HIGH SCHOOL053180,San Mateo,San Mateo,App GPA,JUNIPERO SERRA HIGH SCHOOL,88.443553855
JUPITER COMMUNITY SENIOR HS100825,Jupiter,Florida,Enrl GPA,JUPITER COMMUNITY SENIOR HS,
JUPITER COMMUNITY SENIOR HS100825,Jupiter,Florida,Adm GPA,JUPITER COMMUNITY SENIOR HS,
JUPITER COMMUNITY SENIOR HS100825,Jupiter,Florida,App GPA,JUPITER COMMUNITY SENIOR HS,11.293714286
JURUPA HILLS HIGH SCHOOL051268,Fontana,San Bernardino,Enrl GPA,JURUPA HILLS HIGH SCHOOL,18.859945055
JURUPA HILLS HIGH SCHOOL051268,Fontana,San Bernardino,Adm GPA,JURUPA HILLS HIGH SCHOOL,18.661609790
JURUPA HILLS HIGH SCHOOL051268,Fontana,San Bernardino,App GPA,JURUPA HILLS HIGH SCHOOL,17.506535381
JURUPA VALLEY HIGH SCHOOL051989,Mira Loma,Riverside,Enrl GPA,JURUPA VALLEY HIGH SCHOOL,89.537289858
JURUPA VALLEY HIGH SCHOOL051989,Mira Loma,Riverside,Adm GPA,JURUPA VALLEY HIGH SCHOOL,89.228102991
JURUPA VALLEY HIGH SCHOOL051989,Mira Loma,Riverside,App GPA,JURUPA VALLEY HIGH SCHOOL,85.058760097
JUSTICE HIGH SCHOOL470797,Falls Church,Virginia,Enrl GPA,JUSTICE HIGH SCHOOL,
JUSTICE HIGH SCHOOL470797,Falls Church,Virginia,Adm GPA,JUSTICE HIGH SCHOOL,
JUSTICE HIGH SCHOOL470797,Falls Church,Virginia,App GPA,JUSTICE HIGH SCHOOL,3.695
JUSTIN SIENA HIGH SCHOOL052082,Napa,Napa,Enrl GPA,JUSTIN SIENA HIGH SCHOOL,93.557610114
JUSTIN SIENA HIGH SCHOOL052082,Napa,Napa,Adm GPA,JUSTIN SIENA HIGH SCHOOL,93.401428252
JUSTIN SIENA HIGH SCHOOL052082,Napa,Napa,App GPA,JUSTIN SIENA HIGH SCHOOL,90.519905915
K12 INTERNATIONAL ACADEMY471067,Herndon,Virginia,Enrl GPA,K12 INTERNATIONAL ACADEMY,
K12 INTERNATIONAL ACADEMY471067,Herndon,Virginia,Adm GPA,K12 INTERNATIONAL ACADEMY,
K12 INTERNATIONAL ACADEMY471067,Herndon,Virginia,App GPA,K12 INTERNATIONAL ACADEMY,3.456
KADENA HIGH SCHOOL DOD561650,Apo,U.S. Armed Forces – Pacific,Enrl GPA,KADENA HIGH SCHOOL DOD,
KADENA HIGH SCHOOL DOD561650,Apo,U.S. Armed Forces – Pacific,Adm GPA,KADENA HIGH SCHOOL DOD,4.046666667
KADENA HIGH SCHOOL DOD561650,Apo,U.S. Armed Forces – Pacific,App GPA,KADENA HIGH SCHOOL DOD,15.072238095
KADENA HIGH SCHOOL DOD561650,"n/a ",,Enrl GPA,KADENA HIGH SCHOOL DOD,
KADENA HIGH SCHOOL DOD561650,"n/a ",,Adm GPA,KADENA HIGH SCHOOL DOD,4.042
KADENA HIGH SCHOOL DOD561650,"n/a ",,App GPA,KADENA HIGH SCHOOL DOD,15.580095238
KAHUKU HIGH SCHOOL120135,Kahuku,Hawaii,Enrl GPA,KAHUKU HIGH SCHOOL,
KAHUKU HIGH SCHOOL120135,Kahuku,Hawaii,Adm GPA,KAHUKU HIGH SCHOOL,3.991666667
KAHUKU HIGH SCHOOL120135,Kahuku,Hawaii,App GPA,KAHUKU HIGH SCHOOL,34.411
KAILUA HIGH SCHOOL120185,Kailua,Hawaii,Enrl GPA,KAILUA HIGH SCHOOL,
KAILUA HIGH SCHOOL120185,Kailua,Hawaii,Adm GPA,KAILUA HIGH SCHOOL,
KAILUA HIGH SCHOOL120185,Kailua,Hawaii,App GPA,KAILUA HIGH SCHOOL,3.862
KAIMUKI HIGH SCHOOL120045,Honolulu,Hawaii,Enrl GPA,KAIMUKI HIGH SCHOOL,
KAIMUKI HIGH SCHOOL120045,Honolulu,Hawaii,Adm GPA,KAIMUKI HIGH SCHOOL,3.84
KAIMUKI HIGH SCHOOL120045,Honolulu,Hawaii,App GPA,KAIMUKI HIGH SCHOOL,15.419666667
KAISERSLAUTERN HIGH SCHOOL576220,Apo,U.S. Armed Forces – Europe,Enrl GPA,KAISERSLAUTERN HIGH SCHOOL,
KAISERSLAUTERN HIGH SCHOOL576220,Apo,U.S. Armed Forces – Europe,Adm GPA,KAISERSLAUTERN HIGH SCHOOL,
KAISERSLAUTERN HIGH SCHOOL576220,Apo,U.S. Armed Forces – Europe,App GPA,KAISERSLAUTERN HIGH SCHOOL,3.943333333
KALAHEO HIGH SCHOOL120143,Kailua,Hawaii,Enrl GPA,KALAHEO HIGH SCHOOL,
KALAHEO HIGH SCHOOL120143,Kailua,Hawaii,Adm GPA,KALAHEO HIGH SCHOOL,24.21525
KALAHEO HIGH SCHOOL120143,Kailua,Hawaii,App GPA,KALAHEO HIGH SCHOOL,41.725772727
KALANI HIGH SCHOOL120047,Honolulu,Hawaii,Enrl GPA,KALANI HIGH SCHOOL,
KALANI HIGH SCHOOL120047,Honolulu,Hawaii,Adm GPA,KALANI HIGH SCHOOL,27.721708791
KALANI HIGH SCHOOL120047,Honolulu,Hawaii,App GPA,KALANI HIGH SCHOOL,52.668944444
KAMEHAMEHA SCHOOLS HAWAII120169,Keaau,Hawaii,Enrl GPA,KAMEHAMEHA SCHOOLS HAWAII,
KAMEHAMEHA SCHOOLS HAWAII120169,Keaau,Hawaii,Adm GPA,KAMEHAMEHA SCHOOLS HAWAII,7.717
KAMEHAMEHA SCHOOLS HAWAII120169,Keaau,Hawaii,App GPA,KAMEHAMEHA SCHOOLS HAWAII,15.376666667
KAMEHAMEHA SCHOOLS KAPALAMA120055,Honolulu,Hawaii,Enrl GPA,KAMEHAMEHA SCHOOLS KAPALAMA,7.722
KAMEHAMEHA SCHOOLS KAPALAMA120055,Honolulu,Hawaii,Adm GPA,KAMEHAMEHA SCHOOLS KAPALAMA,64.790870851
KAMEHAMEHA SCHOOLS KAPALAMA120055,Honolulu,Hawaii,App GPA,KAMEHAMEHA SCHOOLS KAPALAMA,80.163111567
KAMEHAMEHA SCHOOLS MAUI120217,Makawao,Hawaii,Enrl GPA,KAMEHAMEHA SCHOOLS MAUI,
KAMEHAMEHA SCHOOLS MAUI120217,Makawao,Hawaii,Adm GPA,KAMEHAMEHA SCHOOLS MAUI,7.644857143
KAMEHAMEHA SCHOOLS MAUI120217,Makawao,Hawaii,App GPA,KAMEHAMEHA SCHOOLS MAUI,18.761777778
KAMIAK HIGH SCHOOL480758,Mukilteo,Washington,Enrl GPA,KAMIAK HIGH SCHOOL,12.4885
