Calculation1,Campus,City,Count,County/State/ Territory,Fall Term,Gender,School,Pivot Field Values
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Enr,Alameda,2014,Male,LPS OAKLAND R&D CAMPUS,3
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Adm,Alameda,2014,Male,LPS OAKLAND R&D CAMPUS,3
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Enr,Alameda,2014,Female,LPS OAKLAND R&D CAMPUS,4
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Adm,Alameda,2014,Female,LPS OAKLAND R&D CAMPUS,4
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,App,Alameda,2014,Female,LPS OAKLAND R&D CAMPUS,8
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Enr,Alameda,2014,All,LPS OAKLAND R&D CAMPUS,7
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Adm,Alameda,2014,All,LPS OAKLAND R&D CAMPUS,7
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,App,Alameda,2014,All,LPS OAKLAND R&D CAMPUS,11
LPS OAKLAND R&D CAMPUS54704,Berkeley,Oakland,App,Alameda,2018,Male,LPS OAKLAND R&D CAMPUS,7
LPS OAKLAND R&D CAMPUS54704,Berkeley,Oakland,App,Alameda,2018,Female,LPS OAKLAND R&D CAMPUS,12
LPS OAKLAND R&D CAMPUS54704,Berkeley,Oakland,Enr,Alameda,2018,All,LPS OAKLAND R&D CAMPUS,3
LPS OAKLAND R&D CAMPUS54704,Berkeley,Oakland,Adm,Alameda,2018,All,LPS OAKLAND R&D CAMPUS,3
LPS OAKLAND R&D CAMPUS54704,Berkeley,Oakland,App,Alameda,2018,All,LPS OAKLAND R&D CAMPUS,19
LPS OAKLAND R&D CAMPUS54704,Berkeley,Oakland,App,Alameda,2017,Male,LPS OAKLAND R&D CAMPUS,5
LPS OAKLAND R&D CAMPUS54704,Berkeley,Oakland,App,Alameda,2017,Female,LPS OAKLAND R&D CAMPUS,12
LPS OAKLAND R&D CAMPUS54704,Berkeley,Oakland,Adm,Alameda,2017,All,LPS OAKLAND R&D CAMPUS,3
LPS OAKLAND R&D CAMPUS54704,Berkeley,Oakland,App,Alameda,2017,All,LPS OAKLAND R&D CAMPUS,17
LPS OAKLAND R&D CAMPUS54704,Berkeley,Oakland,App,Alameda,2016,Male,LPS OAKLAND R&D CAMPUS,5
LPS OAKLAND R&D CAMPUS54704,Berkeley,Oakland,Enr,Alameda,2016,Female,LPS OAKLAND R&D CAMPUS,3
LPS OAKLAND R&D CAMPUS54704,Berkeley,Oakland,Adm,Alameda,2016,Female,LPS OAKLAND R&D CAMPUS,3
LPS OAKLAND R&D CAMPUS54704,Berkeley,Oakland,App,Alameda,2016,Female,LPS OAKLAND R&D CAMPUS,13
LPS OAKLAND R&D CAMPUS54704,Berkeley,Oakland,Enr,Alameda,2016,All,LPS OAKLAND R&D CAMPUS,3
LPS OAKLAND R&D CAMPUS54704,Berkeley,Oakland,Adm,Alameda,2016,All,LPS OAKLAND R&D CAMPUS,3
LPS OAKLAND R&D CAMPUS54704,Berkeley,Oakland,App,Alameda,2016,All,LPS OAKLAND R&D CAMPUS,18
LPS OAKLAND R&D CAMPUS54704,Davis,Oakland,Adm,Alameda,2017,Male,LPS OAKLAND R&D CAMPUS,4
LPS OAKLAND R&D CAMPUS54704,Davis,Oakland,Adm,Alameda,2017,Female,LPS OAKLAND R&D CAMPUS,7
