Calculation1,Campus,City,Count,County/State/ Territory,Fall Term,School,Uad Uc Ethn 6 Cat,Pivot Field Values
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,App,Alameda,2015,LPS OAKLAND R&D CAMPUS,Hispanic/ Latino,14
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,Adm,Alameda,2015,LPS OAKLAND R&D CAMPUS,All,3
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,App,Alameda,2015,LPS OAKLAND R&D CAMPUS,All,15
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,Enr,Alameda,2014,LPS OAKLAND R&D CAMPUS,All,7
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,Adm,Alameda,2014,LPS OAKLAND R&D CAMPUS,All,7
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,App,Alameda,2014,LPS OAKLAND R&D CAMPUS,All,11
OAKLAND CATHOLIC HIGH SCHOOL393775,Universitywide,Pittsburgh,App,PA,2018,OAKLAND CATHOLIC HIGH SCHOOL,Inter- national,6
OAKLAND CATHOLIC HIGH SCHOOL393775,Universitywide,Pittsburgh,Adm,PA,2018,OAKLAND CATHOLIC HIGH SCHOOL,All,5
OAKLAND CATHOLIC HIGH SCHOOL393775,Universitywide,Pittsburgh,App,PA,2018,OAKLAND CATHOLIC HIGH SCHOOL,All,7
OAKLAND CATHOLIC HIGH SCHOOL393775,Universitywide,Pittsburgh,App,PA,2016,OAKLAND CATHOLIC HIGH SCHOOL,Inter- national,5
OAKLAND CATHOLIC HIGH SCHOOL393775,Universitywide,Pittsburgh,Adm,PA,2016,OAKLAND CATHOLIC HIGH SCHOOL,All,3
OAKLAND CATHOLIC HIGH SCHOOL393775,Universitywide,Pittsburgh,App,PA,2016,OAKLAND CATHOLIC HIGH SCHOOL,All,6
OAKLAND CATHOLIC HIGH SCHOOL393775,Universitywide,Pittsburgh,Adm,PA,2014,OAKLAND CATHOLIC HIGH SCHOOL,All,3
OAKLAND CATHOLIC HIGH SCHOOL393775,Los Angeles,Pittsburgh,App,PA,2016,OAKLAND CATHOLIC HIGH SCHOOL,Inter- national,5
OAKLAND CATHOLIC HIGH SCHOOL393775,Los Angeles,Pittsburgh,App,PA,2016,OAKLAND CATHOLIC HIGH SCHOOL,All,6
OAKLAND CATHOLIC HIGH SCHOOL393775,San Diego,Pittsburgh,Adm,PA,2018,OAKLAND CATHOLIC HIGH SCHOOL,All,3
OAKLAND CATHOLIC HIGH SCHOOL393775,San Diego,Pittsburgh,App,PA,2018,OAKLAND CATHOLIC HIGH SCHOOL,All,5
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Enr,Alameda,2018,OAKLAND CHARTER HIGH SCHOOL,Domestic Unknown,4
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2018,OAKLAND CHARTER HIGH SCHOOL,Domestic Unknown,4
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2018,OAKLAND CHARTER HIGH SCHOOL,Domestic Unknown,5
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Enr,Alameda,2018,OAKLAND CHARTER HIGH SCHOOL,Asian,27
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2018,OAKLAND CHARTER HIGH SCHOOL,Asian,36
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2018,OAKLAND CHARTER HIGH SCHOOL,Asian,51
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2018,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,9
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2018,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,14
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Enr,Alameda,2018,OAKLAND CHARTER HIGH SCHOOL,All,35
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2018,OAKLAND CHARTER HIGH SCHOOL,All,52
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2018,OAKLAND CHARTER HIGH SCHOOL,All,74
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Enr,Alameda,2017,OAKLAND CHARTER HIGH SCHOOL,Asian,15
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2017,OAKLAND CHARTER HIGH SCHOOL,Asian,23
